Nutrients,Source,DSym
Copper,Oysters | seeds | dark leafy vegetables | organ meats | legumes | grains | nuts | shell fish | chocolate | soyabeans | molasses,Poor Immune
Folate,Supplements | grains | tomato juice | green vegetables,Anemia
Folate,Supplements | grains | tomato juice | green vegetables,Fatigue
Folate,Supplements | grains | tomato juice | green vegetables,Insomnia
Glutathioine,Meats | ricotta | cottage cheese | yogurt | wheat gram | granoia | oat flakes,Catract
Glutathioine,Meats | ricotta | cottage cheese | yogurt | wheat gram | granoia | oat flakes,Poor Immune
Magnesium,Green vegetables | beans | peas | nuts | seeds | grains,Fatigue
Magnesium,Green vegetables | beans | peas | nuts | seeds | grains,Cramps
Magnesium,Green vegetables | beans | peas | nuts | seeds | grains,Numbness
Panthothenate,Meat | vegetables | whole grains | legumes | lentils | egg yolks | milk | sweet potatoes | seeds | nuts | wheat gram salmon,Fatigue
Panthothenate,Meat | vegetables | whole grains | legumes | lentils | egg yolks | milk | sweet potatoes | seeds | nuts | wheat gram salmon,PaleSkin
Panthothenate,Meat | vegetables | whole grains | legumes | lentils | egg yolks | milk | sweet potatoes | seeds | nuts | wheat gram salmon,Discoloration
Selenium,Brewer's yeast | wheat gram | liver butter | cold water fish | shellfish,Poor immune
Selenium,Brewer's yeast | wheat gram | liver butter | cold water fish | shellfish,RBCs
Zinc,Oyesters | shellfish | meat and poultry | legumes | vegetables | nuts and seeds | whole grains | milk and dairy foods,DamagedHair
Zinc,Oyesters | shellfish | meat and poultry | legumes | vegetables | nuts and seeds | whole grains | milk and dairy foods,HairFall
Zinc,Oyesters | shellfish | meat and poultry | legumes | vegetables | nuts and seeds | whole grains | milk and dairy foods,SplitEnds
Zinc,Oyesters | shellfish | meat and poultry | legumes | vegetables | nuts and seeds | whole grains | milk and dairy foods,lean
Zinc,Oyesters | shellfish | meat and poultry | legumes | vegetables | nuts and seeds | whole grains | milk and dairy foods,bony
